person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,income_group,loan_income_ratio,emp_category
26,300000,MORTGAGE,10.0,VENTURE,A,20000,7.88,0,0.07,N,4,High Income,0.0666666666666667,Experienced
23,300000,OWN,1.0,EDUCATION,F,24250,19.41,0,0.08,Y,2,High Income,0.0808333333333333,New
26,300000,OWN,9.0,HOMEIMPROVEMENT,B,10000,10.38,0,0.03,N,4,High Income,0.0333333333333333,Experienced
26,300000,MORTGAGE,0.0,EDUCATION,D,25000,15.33,0,0.08,N,3,High Income,0.0833333333333333,New
25,300000,MORTGAGE,9.0,HOMEIMPROVEMENT,E,18000,16.45,0,0.06,N,3,High Income,0.06,Experienced
26,80690,RENT,8.0,PERSONAL,A,30000,7.49,1,0.37,N,3,High Income,0.371793282934688,Experienced
22,66300,RENT,4.0,MEDICAL,B,30000,12.69,1,0.38,N,3,Medium Income,0.452488687782805,Mid
26,89028,RENT,0.0,DEBTCONSOLIDATION,A,30000,6.62,1,0.34,N,3,High Income,0.336972637821809,New
24,78000,RENT,4.0,DEBTCONSOLIDATION,D,30000,,1,0.38,Y,4,High Income,0.384615384615385,Mid
23,78000,RENT,7.0,DEBTCONSOLIDATION,F,30000,18.62,1,0.38,Y,3,High Income,0.384615384615385,Experienced
23,92004,RENT,6.0,PERSONAL,C,30000,15.23,1,0.33,Y,3,High Income,0.326072779444372,Experienced
23,97000,RENT,7.0,VENTURE,B,30000,10.65,1,0.31,N,2,High Income,0.309278350515464,Experienced
25,120000,RENT,9.0,EDUCATION,A,30000,7.9,0,0.25,N,4,High Income,0.25,Experienced
26,280000,RENT,4.0,PERSONAL,C,10000,15.96,0,0.04,Y,3,High Income,0.0357142857142857,Mid
26,277104,RENT,0.0,VENTURE,B,20000,11.48,0,0.07,N,3,High Income,0.0721750678445638,New
23,277000,OWN,3.0,PERSONAL,A,35000,,0,0.13,N,4,High Income,0.126353790613718,Mid
25,128000,RENT,9.0,PERSONAL,A,30000,7.29,0,0.23,N,4,High Income,0.234375,Experienced
24,12000,OWN,2.0,VENTURE,E,1750,,0,0.15,Y,3,Low Income,0.145833333333333,Mid
21,131000,RENT,0.0,VENTURE,A,30000,5.99,0,0.23,N,4,High Income,0.229007633587786,New
22,275000,OWN,6.0,VENTURE,B,12000,11.58,0,0.04,N,2,High Income,0.0436363636363636,Experienced
26,263000,MORTGAGE,0.0,EDUCATION,B,10000,,1,0.04,N,4,High Income,0.0380228136882129,New
25,221850,MORTGAGE,9.0,MEDICAL,D,25000,15.7,1,0.1,N,2,High Income,0.112688753662384,Experienced
22,70000,RENT,6.0,EDUCATION,D,29100,15.99,1,0.42,N,3,Medium Income,0.415714285714286,Experienced
22,12000,MORTGAGE,7.0,EDUCATION,D,1500,14.84,0,0.13,Y,3,Low Income,0.125,Experienced
26,260000,OWN,10.0,HOMEIMPROVEMENT,B,28000,10.99,0,0.11,N,3,High Income,0.107692307692308,Experienced
25,259000,MORTGAGE,9.0,HOMEIMPROVEMENT,D,20000,14.42,0,0.08,Y,2,High Income,0.0772200772200772,Experienced
24,255000,MORTGAGE,9.0,EDUCATION,A,9600,6.99,0,0.04,N,2,High Income,0.0376470588235294,Experienced
25,250000,RENT,2.0,MEDICAL,C,25000,13.49,0,0.1,N,4,High Income,0.1,Mid
25,12000,OWN,0.0,MEDICAL,C,3000,,1,0.25,N,3,Low Income,0.25,New
22,56950,RENT,6.0,MEDICAL,A,28000,,1,0.49,N,2,Medium Income,0.491659350307287,Experienced
21,12000,OWN,6.0,EDUCATION,C,3000,13.61,1,0.25,Y,3,Low Income,0.25,Experienced
23,65000,RENT,2.0,EDUCATION,A,28000,7.9,1,0.43,N,2,Medium Income,0.430769230769231,Mid
26,85000,RENT,2.0,VENTURE,A,28000,7.49,1,0.33,N,3,High Income,0.329411764705882,Mid
26,12000,OWN,2.0,EDUCATION,A,6100,7.51,1,0.51,N,3,Low Income,0.508333333333333,Mid
22,88000,RENT,6.0,VENTURE,B,28000,9.91,1,0.32,N,3,High Income,0.318181818181818,Experienced
21,12000,OWN,0.0,PERSONAL,C,4200,13.48,1,0.35,Y,4,Low Income,0.35,New
22,12000,OWN,6.0,DEBTCONSOLIDATION,A,4750,7.14,1,0.4,N,2,Low Income,0.395833333333333,Experienced
24,83004,RENT,0.0,VENTURE,D,28000,15.99,1,0.34,Y,4,High Income,0.337333140571539,New
24,250000,RENT,2.0,EDUCATION,C,18000,12.98,0,0.07,Y,3,High Income,0.072,Mid
144,250000,RENT,4.0,VENTURE,C,4800,13.57,0,0.02,N,3,High Income,0.0192,Mid
25,100000,RENT,5.0,DEBTCONSOLIDATION,B,28000,12.69,0,0.28,N,3,High Income,0.28,Mid
26,110000,RENT,10.0,EDUCATION,A,28000,8.9,0,0.25,N,2,High Income,0.254545454545455,Experienced
26,12000,OWN,0.0,DEBTCONSOLIDATION,A,2700,,1,0.23,N,4,Low Income,0.225,New
22,108000,RENT,6.0,EDUCATION,B,28000,,1,0.26,N,4,High Income,0.259259259259259,Experienced
23,151200,RENT,7.0,DEBTCONSOLIDATION,B,28000,11.11,0,0.19,N,2,High Income,0.185185185185185,Experienced
24,69000,RENT,2.0,HOMEIMPROVEMENT,A,27600,,1,0.4,N,2,Medium Income,0.4,Mid
21,12000,MORTGAGE,5.0,DEBTCONSOLIDATION,E,3250,15.68,1,0.27,Y,3,Low Income,0.270833333333333,Mid
22,70000,RENT,4.0,EDUCATION,C,27500,13.06,1,0.39,Y,3,Medium Income,0.392857142857143,Mid
22,240000,OWN,6.0,PERSONAL,B,25000,,0,0.1,N,2,High Income,0.104166666666667,Experienced
26,73200,RENT,5.0,VENTURE,D,27050,15.62,1,0.37,Y,2,High Income,0.369535519125683,Mid
24,83000,RENT,5.0,PERSONAL,C,27000,13.49,1,0.33,Y,2,High Income,0.325301204819277,Mid
24,73399,RENT,0.0,VENTURE,D,27000,,1,0.37,N,3,High Income,0.367852423057535,New
23,62500,RENT,7.0,MEDICAL,B,26000,11.71,1,0.42,N,2,Medium Income,0.416,Experienced
23,120000,RENT,1.0,EDUCATION,B,25600,12.69,0,0.21,N,3,High Income,0.213333333333333,New
24,12360,OWN,2.0,MEDICAL,C,1600,13.57,0,0.13,N,3,Low Income,0.129449838187702,Mid
22,60000,RENT,0.0,VENTURE,B,25475,10.99,1,0.42,N,3,Medium Income,0.424583333333333,New
25,234000,MORTGAGE,3.0,MEDICAL,C,20000,14.27,0,0.09,Y,4,High Income,0.0854700854700855,Mid
24,234000,OWN,8.0,HOMEIMPROVEMENT,B,20000,8.88,0,0.09,N,4,High Income,0.0854700854700855,Experienced
26,234000,MORTGAGE,10.0,HOMEIMPROVEMENT,B,21600,12.18,0,0.09,N,3,High Income,0.0923076923076923,Experienced
25,221004,MORTGAGE,6.0,DEBTCONSOLIDATION,D,11900,14.42,1,0.05,Y,3,High Income,0.0538451792727733,Experienced
26,232500,MORTGAGE,0.0,MEDICAL,C,25000,14.17,0,0.11,Y,2,High Income,0.10752688172043,New
25,230000,MORTGAGE,5.0,MEDICAL,C,35000,13.99,0,0.15,N,4,High Income,0.152173913043478,Mid
23,83000,RENT,7.0,EDUCATION,B,25300,10.99,1,0.3,N,3,High Income,0.304819277108434,Experienced
22,12600,MORTGAGE,,PERSONAL,A,2000,5.42,1,0.16,N,4,Low Income,0.158730158730159,Experienced
25,12600,OWN,3.0,PERSONAL,C,1750,13.61,0,0.14,N,3,Low Income,0.138888888888889,Mid
21,42500,RENT,3.0,EDUCATION,C,25000,12.73,1,0.59,Y,3,Medium Income,0.588235294117647,Mid
24,41000,RENT,2.0,HOMEIMPROVEMENT,D,25000,,1,0.61,N,3,Medium Income,0.609756097560976,Mid
25,12816,OWN,0.0,DEBTCONSOLIDATION,C,3000,12.87,1,0.23,Y,4,Low Income,0.234082397003745,New
24,12960,MORTGAGE,1.0,HOMEIMPROVEMENT,B,3650,9.91,1,0.28,N,3,Low Income,0.281635802469136,New
26,226000,MORTGAGE,4.0,HOMEIMPROVEMENT,B,20000,11.49,0,0.09,N,4,High Income,0.0884955752212389,Mid
25,225000,MORTGAGE,0.0,HOMEIMPROVEMENT,E,30000,19.91,0,0.13,Y,2,High Income,0.133333333333333,New
26,213000,MORTGAGE,6.0,EDUCATION,B,35000,10.65,1,0.16,N,2,High Income,0.164319248826291,Experienced
24,225000,RENT,0.0,MEDICAL,B,6000,,0,0.03,N,4,High Income,0.0266666666666667,New
24,12960,MORTGAGE,0.0,DEBTCONSOLIDATION,B,4500,11.83,1,0.35,N,4,Low Income,0.347222222222222,New
23,12996,OWN,0.0,DEBTCONSOLIDATION,C,2400,13.49,1,0.18,Y,2,Low Income,0.184672206832872,New
22,42000,RENT,6.0,MEDICAL,D,25000,14.59,1,0.6,Y,2,Medium Income,0.595238095238095,Experienced
26,48000,RENT,2.0,EDUCATION,B,25000,9.64,1,0.52,N,4,Medium Income,0.520833333333333,Mid
25,12996,OWN,1.0,MEDICAL,D,3600,14.59,1,0.28,N,3,Low Income,0.277008310249307,New
22,12996,OWN,1.0,EDUCATION,B,4750,,1,0.37,N,3,Low Income,0.365497076023392,New
25,42360,RENT,1.0,EDUCATION,E,25000,16.35,1,0.59,Y,3,Medium Income,0.590179414542021,New
21,49000,RENT,4.0,EDUCATION,B,25000,10.99,1,0.51,N,2,Medium Income,0.510204081632653,Mid
25,225000,MORTGAGE,0.0,VENTURE,F,25000,18.67,0,0.11,N,2,High Income,0.111111111111111,New
26,225000,RENT,1.0,EDUCATION,A,3000,9.32,0,0.01,N,4,High Income,0.0133333333333333,New
23,225000,RENT,8.0,DEBTCONSOLIDATION,A,7500,8.63,0,0.03,N,2,High Income,0.0333333333333333,Experienced
26,225000,MORTGAGE,2.0,VENTURE,B,25000,10.08,0,0.11,N,2,High Income,0.111111111111111,Mid
22,49464,RENT,5.0,PERSONAL,B,25000,11.83,1,0.51,N,3,Medium Income,0.505418081837296,Mid
23,50000,RENT,1.0,DEBTCONSOLIDATION,A,25000,7.9,1,0.5,N,3,Medium Income,0.5,New
25,50000,RENT,4.0,HOMEIMPROVEMENT,A,25000,5.99,1,0.5,N,2,Medium Income,0.5,Mid
24,44000,RENT,2.0,DEBTCONSOLIDATION,D,25000,15.33,1,0.57,N,2,Medium Income,0.568181818181818,Mid
23,50000,RENT,1.0,VENTURE,B,25000,11.83,1,0.5,N,4,Medium Income,0.5,New
22,50004,RENT,0.0,VENTURE,B,25000,10.36,1,0.5,N,2,Medium Income,0.499960003199744,New
22,50004,RENT,3.0,VENTURE,C,25000,12.23,1,0.5,N,3,Medium Income,0.499960003199744,Mid
22,52000,RENT,2.0,EDUCATION,B,25000,11.11,1,0.48,N,4,Medium Income,0.480769230769231,Mid
23,13200,OWN,3.0,DEBTCONSOLIDATION,A,4950,7.9,1,0.38,N,4,Low Income,0.375,Mid
24,220000,MORTGAGE,1.0,EDUCATION,B,25000,11.58,0,0.11,N,2,High Income,0.113636363636364,New
23,216000,MORTGAGE,5.0,DEBTCONSOLIDATION,A,21000,8.9,0,0.1,N,3,High Income,0.0972222222222222,Mid
25,216000,MORTGAGE,2.0,EDUCATION,D,25000,16.07,0,0.12,N,3,High Income,0.115740740740741,Mid
26,216000,MORTGAGE,10.0,EDUCATION,C,20000,14.22,0,0.09,Y,2,High Income,0.0925925925925926,Experienced
23,215000,MORTGAGE,7.0,MEDICAL,C,35000,14.79,0,0.16,Y,3,High Income,0.162790697674419,Experienced
26,215000,MORTGAGE,11.0,EDUCATION,A,12000,7.88,0,0.06,N,2,High Income,0.0558139534883721,Experienced
23,52000,RENT,1.0,PERSONAL,C,25000,13.22,1,0.48,N,2,Medium Income,0.480769230769231,New
26,46000,RENT,2.0,DEBTCONSOLIDATION,D,25000,11.86,1,0.54,N,4,Medium Income,0.543478260869565,Mid
22,53000,RENT,5.0,EDUCATION,C,25000,13.43,1,0.47,Y,4,Medium Income,0.471698113207547,Mid
26,47000,RENT,0.0,HOMEIMPROVEMENT,D,25000,15.28,1,0.53,Y,2,Medium Income,0.531914893617021,New
23,47000,RENT,1.0,VENTURE,E,25000,17.93,1,0.53,N,2,Medium Income,0.531914893617021,New
23,13200,MORTGAGE,2.0,EDUCATION,B,1400,9.25,0,0.11,N,4,Low Income,0.106060606060606,Mid
21,13200,OWN,0.0,VENTURE,C,4500,12.98,1,0.34,N,4,Low Income,0.340909090909091,New
22,210000,MORTGAGE,6.0,VENTURE,B,16000,10.62,0,0.08,N,4,High Income,0.0761904761904762,Experienced
26,210000,OWN,10.0,PERSONAL,B,22000,11.83,0,0.1,N,4,High Income,0.104761904761905,Experienced
26,48000,RENT,5.0,VENTURE,F,25000,18.43,1,0.52,N,2,Medium Income,0.520833333333333,Mid
22,54996,RENT,6.0,EDUCATION,B,25000,,1,0.45,N,4,Medium Income,0.454578514801076,Experienced
24,55000,RENT,4.0,HOMEIMPROVEMENT,D,25000,,1,0.45,Y,4,Medium Income,0.454545454545455,Mid
23,55000,RENT,4.0,EDUCATION,B,25000,11.36,1,0.45,N,3,Medium Income,0.454545454545455,Mid
23,55000,RENT,4.0,EDUCATION,D,25000,15.65,1,0.45,Y,3,Medium Income,0.454545454545455,Mid
24,55164,RENT,8.0,PERSONAL,C,25000,13.22,1,0.45,Y,4,Medium Income,0.453194112102096,Experienced
26,56000,RENT,4.0,DEBTCONSOLIDATION,C,25000,12.87,1,0.45,N,2,Medium Income,0.446428571428571,Mid
24,203500,OWN,8.0,MEDICAL,C,20000,13.04,0,0.1,N,3,High Income,0.0982800982800983,Experienced
23,190000,MORTGAGE,5.0,EDUCATION,F,22000,17.58,1,0.12,Y,3,High Income,0.115789473684211,Mid
23,13920,OWN,2.0,PERSONAL,E,7750,17.04,1,0.56,N,4,Low Income,0.556752873563218,Mid
24,60000,RENT,0.0,PERSONAL,B,25000,10.99,1,0.42,N,3,Medium Income,0.416666666666667,New
24,60000,RENT,2.0,PERSONAL,B,25000,11.11,1,0.42,N,3,Medium Income,0.416666666666667,Mid
26,54000,RENT,7.0,DEBTCONSOLIDATION,D,25000,14.83,1,0.46,Y,2,Medium Income,0.462962962962963,Experienced
23,14000,OWN,2.0,DEBTCONSOLIDATION,D,4000,,1,0.29,N,3,Low Income,0.285714285714286,Mid
24,200000,RENT,8.0,MEDICAL,B,12000,12.69,0,0.06,N,2,High Income,0.06,Experienced
24,200000,MORTGAGE,8.0,HOMEIMPROVEMENT,C,12000,13.49,0,0.06,N,2,High Income,0.06,Experienced
21,200000,MORTGAGE,5.0,EDUCATION,C,16000,14.65,0,0.08,N,4,High Income,0.08,Mid
25,54000,RENT,3.0,HOMEIMPROVEMENT,E,25000,16.82,1,0.46,N,4,Medium Income,0.462962962962963,Mid
23,60000,RENT,3.0,PERSONAL,C,25000,12.73,1,0.42,N,3,Medium Income,0.416666666666667,Mid
23,60000,RENT,7.0,PERSONAL,B,25000,10.25,1,0.42,N,4,Medium Income,0.416666666666667,Experienced
21,60000,RENT,6.0,EDUCATION,B,25000,10.99,1,0.42,N,4,Medium Income,0.416666666666667,Experienced
25,61959,RENT,9.0,MEDICAL,C,25000,12.73,1,0.4,N,2,Medium Income,0.403492632224536,Experienced
22,56400,RENT,2.0,HOMEIMPROVEMENT,D,25000,14.96,1,0.44,Y,3,Medium Income,0.443262411347518,Mid
23,200000,MORTGAGE,7.0,EDUCATION,A,28000,,0,0.14,N,2,High Income,0.14,Experienced
21,200000,MORTGAGE,2.0,DEBTCONSOLIDATION,C,25000,13.99,0,0.13,N,2,High Income,0.125,Mid
24,200000,MORTGAGE,3.0,VENTURE,A,24000,7.49,0,0.12,N,4,High Income,0.12,Mid
26,200000,MORTGAGE,4.0,EDUCATION,C,15000,14.79,0,0.07,N,3,High Income,0.075,Mid
25,200000,MORTGAGE,2.0,DEBTCONSOLIDATION,B,15500,11.99,0,0.08,N,2,High Income,0.0775,Mid
24,200000,RENT,8.0,EDUCATION,A,10000,8.49,0,0.05,N,4,High Income,0.05,Experienced
24,66000,RENT,3.0,EDUCATION,B,25000,9.91,1,0.38,N,2,Medium Income,0.378787878787879,Mid
22,66000,RENT,6.0,EDUCATION,C,25000,13.06,1,0.38,Y,3,Medium Income,0.378787878787879,Experienced
22,200000,MORTGAGE,6.0,DEBTCONSOLIDATION,A,9000,6.17,0,0.04,N,4,High Income,0.045,Experienced
144,200000,MORTGAGE,4.0,EDUCATION,B,6000,11.86,0,0.03,N,2,High Income,0.03,Mid
25,200000,RENT,5.0,EDUCATION,D,18000,16.32,0,0.09,N,3,High Income,0.09,Mid
25,200000,MORTGAGE,2.0,VENTURE,B,12000,10.38,0,0.06,N,2,High Income,0.06,Mid
25,200000,MORTGAGE,9.0,PERSONAL,C,23050,14.35,0,0.12,N,3,High Income,0.11525,Experienced
24,200000,MORTGAGE,8.0,DEBTCONSOLIDATION,B,20000,,0,0.1,N,3,High Income,0.1,Experienced
24,60000,RENT,2.0,DEBTCONSOLIDATION,E,25000,,1,0.42,Y,2,Medium Income,0.416666666666667,Mid
21,14400,OWN,0.0,HOMEIMPROVEMENT,B,3000,,1,0.21,N,4,Low Income,0.208333333333333,New
26,66996,RENT,10.0,PERSONAL,D,25000,15.21,1,0.37,Y,2,Medium Income,0.373156606364559,Experienced
23,67000,RENT,3.0,EDUCATION,A,25000,7.9,1,0.37,N,4,Medium Income,0.373134328358209,Mid
24,67000,RENT,2.0,VENTURE,B,25000,10.99,1,0.37,N,3,Medium Income,0.373134328358209,Mid
24,68000,RENT,5.0,PERSONAL,D,25000,14.09,1,0.37,Y,3,Medium Income,0.367647058823529,Mid
25,69000,RENT,9.0,PERSONAL,D,25000,17.49,1,0.36,N,2,Medium Income,0.36231884057971,Experienced
25,200000,MORTGAGE,0.0,EDUCATION,B,12000,11.48,0,0.06,N,3,High Income,0.06,New
26,188000,MORTGAGE,10.0,VENTURE,E,20000,17.74,1,0.11,N,2,High Income,0.106382978723404,Experienced
26,200000,MORTGAGE,4.0,PERSONAL,C,3000,13.92,0,0.01,N,3,High Income,0.015,Mid
25,69996,RENT,9.0,EDUCATION,D,25000,15.21,1,0.36,N,3,Medium Income,0.35716326647237,Experienced
22,14400,OWN,2.0,MEDICAL,B,4000,10.99,1,0.28,N,3,Low Income,0.277777777777778,Mid
24,70000,RENT,3.0,EDUCATION,B,25000,11.86,1,0.36,N,4,Medium Income,0.357142857142857,Mid
24,14400,OWN,5.0,PERSONAL,A,6000,7.49,1,0.42,N,3,Low Income,0.416666666666667,Mid
24,56100,RENT,7.0,MEDICAL,D,25000,16.49,1,0.38,N,4,Medium Income,0.445632798573975,Experienced
25,66000,RENT,9.0,VENTURE,D,25000,15.33,1,0.38,Y,2,Medium Income,0.378787878787879,Experienced
26,66000,RENT,3.0,HOMEIMPROVEMENT,B,25000,11.58,1,0.38,N,4,Medium Income,0.378787878787879,Mid
25,14400,OWN,7.0,EDUCATION,A,5375,5.79,1,0.37,N,2,Low Income,0.373263888888889,Experienced
25,72612,RENT,9.0,MEDICAL,C,25000,13.11,1,0.34,N,2,High Income,0.344295708698287,Experienced
23,74000,RENT,3.0,MEDICAL,B,25000,10.36,1,0.34,N,3,High Income,0.337837837837838,Mid
25,75000,RENT,9.0,DEBTCONSOLIDATION,B,25000,10.36,1,0.33,N,2,High Income,0.333333333333333,Experienced
24,192000,RENT,0.0,MEDICAL,C,22000,,0,0.11,Y,2,High Income,0.114583333333333,New
21,192000,MORTGAGE,123.0,VENTURE,A,20000,6.54,0,0.1,N,4,High Income,0.104166666666667,Experienced
25,191000,MORTGAGE,1.0,MEDICAL,B,10000,12.53,0,0.05,N,4,High Income,0.0523560209424084,New
26,190300,MORTGAGE,5.0,PERSONAL,A,15000,,0,0.08,N,3,High Income,0.0788229111928534,Mid
22,190000,MORTGAGE,3.0,VENTURE,C,10000,,0,0.05,N,3,High Income,0.0526315789473684,Mid
24,75000,RENT,4.0,EDUCATION,B,25000,10.25,1,0.33,N,4,High Income,0.333333333333333,Mid
22,71000,RENT,1.0,EDUCATION,D,25000,15.95,1,0.35,Y,4,High Income,0.352112676056338,New
26,190000,MORTGAGE,3.0,VENTURE,B,20000,12.18,0,0.11,N,4,High Income,0.105263157894737,Mid
23,189996,OWN,0.0,PERSONAL,B,24000,11.83,0,0.13,N,3,High Income,0.126318448809449,New
23,78000,RENT,7.0,DEBTCONSOLIDATION,C,25000,,1,0.32,Y,2,High Income,0.320512820512821,Experienced
23,78000,RENT,1.0,VENTURE,B,25000,10.62,1,0.32,N,3,High Income,0.320512820512821,New
23,78504,RENT,7.0,VENTURE,B,25000,10.74,1,0.32,N,3,High Income,0.318455110567614,Experienced
25,186000,OWN,9.0,VENTURE,B,10000,10.25,0,0.05,N,4,High Income,0.0537634408602151,Experienced
24,185000,MORTGAGE,,EDUCATION,B,35000,12.42,0,0.19,N,2,High Income,0.189189189189189,Experienced
25,185000,RENT,6.0,VENTURE,C,15000,15.27,0,0.08,N,2,High Income,0.0810810810810811,Experienced
24,62050,RENT,8.0,MEDICAL,D,25000,15.33,1,0.34,Y,2,Medium Income,0.40290088638195,Experienced
23,79416,RENT,7.0,VENTURE,D,25000,15.21,1,0.31,Y,2,High Income,0.314798025586783,Experienced
21,14400,OWN,4.0,VENTURE,C,6250,14.72,1,0.43,N,2,Low Income,0.434027777777778,Mid
24,79631,RENT,8.0,PERSONAL,D,25000,15.7,1,0.31,Y,2,High Income,0.313948085544574,Experienced
24,79632,RENT,0.0,EDUCATION,C,25000,13.35,1,0.31,N,4,High Income,0.313944143058067,New
21,14400,MORTGAGE,0.0,MEDICAL,C,1500,,0,0.1,N,4,Low Income,0.104166666666667,New
24,80000,RENT,6.0,EDUCATION,A,25000,6.62,1,0.31,N,2,High Income,0.3125,Experienced
26,80000,RENT,5.0,DEBTCONSOLIDATION,C,25000,13.61,1,0.31,N,4,High Income,0.3125,Mid
22,185000,RENT,4.0,MEDICAL,B,25000,11.36,0,0.14,N,2,High Income,0.135135135135135,Mid
26,185000,OWN,10.0,PERSONAL,A,5000,7.68,0,0.03,N,2,High Income,0.027027027027027,Experienced
24,184992,RENT,7.0,HOMEIMPROVEMENT,D,22000,14.46,0,0.12,Y,4,High Income,0.118924061581041,Experienced
23,184000,OWN,5.0,EDUCATION,B,2500,11.83,0,0.01,N,2,High Income,0.0135869565217391,Mid
24,172000,MORTGAGE,6.0,DEBTCONSOLIDATION,C,20000,13.47,1,0.12,Y,4,High Income,0.116279069767442,Experienced
24,183000,MORTGAGE,2.0,MEDICAL,B,20000,11.49,0,0.11,N,3,High Income,0.109289617486339,Mid
22,183000,MORTGAGE,3.0,EDUCATION,A,1000,,0,0.01,N,2,High Income,0.00546448087431694,Mid
